step_time,vehicle_count,queue_length_N,queue_length_S,queue_length_E,queue_length_W,queue_N,queue_S,queue_E,queue_W,avg_speed,flow_rate,time_of_day,day_of_week,current_phase,density
47.5,12,1,1,0,0,1,1,0,0,9.396500450511413,0.0033333333333333335,47.5,0,2,0.12
48.0,12,1,1,0,0,1,1,0,0,9.522744605706665,0.0033333333333333335,48.0,0,2,0.12
48.5,12,1,1,0,0,1,1,0,0,9.779662890998143,0.0033333333333333335,48.5,0,2,0.12
49.0,12,1,1,0,0,1,1,0,0,9.9001337431167,0.0033333333333333335,49.0,0,2,0.12
49.5,12,1,1,0,0,1,1,0,0,9.994916639426105,0.0033333333333333335,49.5,0,2,0.12
50.0,12,1,1,0,0,1,1,0,0,10.215226783969674,0.0033333333333333335,50.0,0,2,0.12
50.5,12,1,1,0,0,1,1,0,0,10.407739294322793,0.0033333333333333335,50.5,0,2,0.12
51.0,12,1,1,0,0,1,1,0,0,10.462536176317702,0.0033333333333333335,51.0,0,2,0.12
51.5,12,1,1,0,0,1,1,0,0,10.484064518867248,0.0033333333333333335,51.5,0,2,0.12
52.0,12,1,1,0,0,1,1,0,0,10.483010284088778,0.0033333333333333335,52.0,0,2,0.12
52.5,12,1,1,0,0,1,1,0,0,10.431688124597532,0.0033333333333333335,52.5,0,2,0.12
53.0,12,1,1,0,0,1,1,0,0,10.464791314758198,0.0033333333333333335,53.0,0,2,0.12
53.5,12,1,1,0,0,1,1,0,0,10.514546805723331,0.0033333333333333335,53.5,0,2,0.12
54.0,12,1,1,0,0,1,1,0,0,10.504137431032056,0.0033333333333333335,54.0,0,2,0.12
54.5,12,1,1,0,0,1,1,0,0,10.454780121282782,0.0033333333333333335,54.5,0,2,0.12
55.0,12,1,1,0,0,1,1,0,0,10.440913894924174,0.0033333333333333335,55.0,0,2,0.12
55.5,12,1,1,0,0,1,1,0,0,10.542731352017837,0.0033333333333333335,55.5,0,2,0.12
56.0,12,1,1,0,0,1,1,0,0,10.460480911652667,0.0033333333333333335,56.0,0,2,0.12
56.5,12,1,1,0,0,1,1,0,0,10.481527078134544,0.0033333333333333335,56.5,0,2,0.12
57.0,12,1,1,0,0,1,1,0,0,10.487301590907071,0.0033333333333333335,57.0,0,2,0.12
57.5,12,1,1,0,0,1,1,0,0,10.467641488575525,0.0033333333333333335,57.5,0,2,0.12
58.0,12,1,1,0,0,1,1,0,0,10.499485012404147,0.0033333333333333335,58.0,0,2,0.12
58.5,12,1,1,0,0,1,1,0,0,10.406824521962275,0.0033333333333333335,58.5,0,2,0.12
59.0,12,1,1,0,0,1,1,0,0,10.534890677023517,0.0033333333333333335,59.0,0,2,0.12
59.5,12,1,1,0,0,1,1,0,0,10.524415912697743,0.0033333333333333335,59.5,0,2,0.12
60.0,12,1,1,0,0,1,1,0,0,10.503923236706093,0.0033333333333333335,60.0,0,2,0.12
60.5,12,1,1,0,0,1,1,0,0,10.427413800962496,0.0033333333333333335,60.5,0,2,0.12
61.0,16,1,1,0,0,1,1,0,0,11.103267783557854,0.0044444444444444444,61.0,0,2,0.16
61.5,16,1,1,0,0,1,1,0,0,11.023688004724422,0.0044444444444444444,61.5,0,2,0.16
62.0,16,1,1,0,0,1,1,0,0,11.110102101930273,0.0044444444444444444,62.0,0,2,0.16
62.5,16,1,1,0,0,1,1,0,0,11.054507335985285,0.0044444444444444444,62.5,0,2,0.16
63.0,16,1,1,0,0,1,1,0,0,11.032203875012524,0.0044444444444444444,63.0,0,2,0.16
63.5,16,1,1,0,0,1,1,0,0,11.030601620506527,0.0044444444444444444,63.5,0,2,0.16
64.0,16,1,1,0,0,1,1,0,0,11.178633856863339,0.0044444444444444444,64.0,0,2,0.16
64.5,16,1,1,0,0,1,1,0,0,11.081287682864527,0.0044444444444444444,64.5,0,2,0.16
65.0,16,1,1,0,0,1,1,0,0,11.065622274504593,0.0044444444444444444,65.0,0,2,0.16
65.5,16,1,1,0,0,1,1,0,0,10.914551100598063,0.0044444444444444444,65.5,0,2,0.16
66.0,16,1,1,0,0,1,1,0,0,10.788260250648918,0.0044444444444444444,66.0,0,2,0.16
66.5,16,1,1,0,0,1,1,0,0,10.58509563296585,0.0044444444444444444,66.5,0,2,0.16
67.0,16,1,1,0,0,1,1,0,0,10.514677376732024,0.0044444444444444444,67.0,0,2,0.16
67.5,16,1,1,0,0,1,1,0,0,10.442923684037309,0.0044444444444444444,67.5,0,2,0.16
68.0,16,1,1,0,0,1,1,0,0,10.250308984163631,0.0044444444444444444,68.0,0,2,0.16
68.5,16,2,1,0,0,2,1,0,0,10.255921039714032,0.0044444444444444444,68.5,0,2,0.16
69.0,16,2,1,0,0,2,1,0,0,10.253699406563552,0.0044444444444444444,69.0,0,2,0.16
69.5,16,2,1,0,0,2,1,0,0,10.180625548665617,0.0044444444444444444,69.5,0,2,0.16
70.0,16,2,1,0,0,2,1,0,0,10.155316172717857,0.0044444444444444444,70.0,0,2,0.16
70.5,16,2,1,0,0,2,1,0,0,9.924986826561144,0.0044444444444444444,70.5,0,2,0.16
71.0,16,2,1,0,0,2,1,0,0,9.89448495920187,0.0044444444444444444,71.0,0,2,0.16
71.5,16,2,1,0,0,2,1,0,0,9.764078790376878,0.0044444444444444444,71.5,0,2,0.16
72.0,16,2,1,0,0,2,1,0,0,9.555995199743313,0.0044444444444444444,72.0,0,2,0.16
72.5,16,2,1,0,0,2,1,0,0,9.554669422619074,0.0044444444444444444,72.5,0,2,0.16
73.0,16,2,2,0,0,2,2,0,0,9.463411334731846,0.0044444444444444444,73.0,0,2,0.16
73.5,14,2,2,0,0,2,2,0,0,8.843035345752085,0.0038888888888888888,73.5,0,2,0.14
74.0,14,2,2,0,0,2,2,0,0,8.941283613177221,0.0038888888888888888,74.0,0,2,0.14
74.5,14,2,2,0,0,2,2,0,0,8.890570494238991,0.0038888888888888888,74.5,0,2,0.14
75.0,14,2,2,0,0,2,2,0,0,8.887825550203749,0.0038888888888888888,75.0,0,2,0.14
75.5,14,2,2,0,0,2,2,0,0,8.869036072622258,0.0038888888888888888,75.5,0,2,0.14
76.0,14,2,2,0,0,2,2,0,0,8.875591055224755,0.0038888888888888888,76.0,0,2,0.14
76.5,14,2,2,0,0,2,2,0,0,8.89155262364401,0.0038888888888888888,76.5,0,2,0.14
77.0,14,2,2,0,0,2,2,0,0,8.898811217428158,0.0038888888888888888,77.0,0,2,0.14
77.5,14,2,2,0,0,2,2,0,0,8.903313091808004,0.0038888888888888888,77.5,0,2,0.14
78.0,14,2,2,0,0,2,2,0,0,8.917238835482298,0.0038888888888888888,78.0,0,2,0.14
78.5,14,2,2,0,0,2,2,0,0,8.9062627220401,0.0038888888888888888,78.5,0,2,0.14
79.0,14,2,2,0,0,2,2,0,0,8.907839590464823,0.0038888888888888888,79.0,0,2,0.14
79.5,14,2,2,0,0,2,2,0,0,8.859256808610205,0.0038888888888888888,79.5,0,2,0.14
80.0,14,2,2,0,0,2,2,0,0,8.846558177022901,0.0038888888888888888,80.0,0,2,0.14
80.5,14,2,2,0,0,2,2,0,0,8.927302572343967,0.0038888888888888888,80.5,0,2,0.14
81.0,14,2,2,0,0,2,2,0,0,8.820818277849986,0.0038888888888888888,81.0,0,2,0.14
81.5,14,2,2,0,0,2,2,0,0,8.913665291746751,0.0038888888888888888,81.5,0,2,0.14
82.0,14,2,2,0,0,2,2,0,0,8.86196393471155,0.0038888888888888888,82.0,0,2,0.14
82.5,14,2,2,0,0,2,2,0,0,8.862704812825895,0.0038888888888888888,82.5,0,2,0.14
83.0,14,2,2,0,0,2,2,0,0,8.88915003058827,0.0038888888888888888,83.0,0,2,0.14
83.5,14,2,2,0,0,2,2,0,0,8.865024070518164,0.0038888888888888888,83.5,0,2,0.14
84.0,14,2,2,0,0,2,2,0,0,8.86666013545467,0.0038888888888888888,84.0,0,2,0.14
84.5,14,2,2,0,0,2,2,0,0,8.910238231847368,0.0038888888888888888,84.5,0,2,0.14
85.0,14,2,2,0,0,2,2,0,0,8.870733289745676,0.0038888888888888888,85.0,0,2,0.14
85.5,13,2,2,0,0,2,2,0,0,8.513113582494352,0.003611111111111111,85.5,0,2,0.13
86.0,13,2,2,0,0,2,2,0,0,8.496496234597,0.003611111111111111,86.0,0,2,0.13
86.5,13,2,2,0,0,2,2,0,0,8.554364675893382,0.003611111111111111,86.5,0,2,0.13
87.0,13,2,2,0,0,2,2,0,0,8.546999459174717,0.003611111111111111,87.0,0,3,0.13
87.5,12,2,2,0,0,2,2,0,0,8.156964573322584,0.0033333333333333335,87.5,0,3,0.12
